policy,epoch,threshold,query,rows,runs,service_ms,kernel_ms,candidate_rows,scan_fp_pc_bytes,tail_threads,active_slices,descriptor_bytes,hits,output_bytes,result_hash,cpu_complete_match,oracle_compare_ms,tracked_live_device_bytes,observed_hits,overflow,process,query_arrival_epoch
all_delta,0,70,0,996854,1,0.041070000000000002,0.0081919999793171883,178,6052,78,1,40,1,16,9590926921243046940,1,0.00033,42919100,1,0,0,0
all_delta,0,70,1,996854,1,0.036261000000000002,0.007007999811321497,193072,6564448,208,1,40,1,16,236623074773584124,1,0.00025999999999999998,42919100,1,0,0,0
all_delta,0,70,2,996854,1,0.044026999999999997,0.010495999827980995,312701,10631834,131,1,40,1,16,16482413140649058011,1,0.00020000000000000001,42919100,1,0,0,0
all_delta,0,70,3,996854,1,0.043678000000000002,0.010304000228643417,419582,14265788,2,1,40,1,16,9968587167645841113,1,0.00019799999999999999,42919100,1,0,0,0
all_delta,0,70,4,996854,1,0.045682,0.01119999960064888,493302,16772268,10,1,40,2,32,584188552658846184,1,0.00020699999999999999,42919100,2,0,0,0
all_delta,0,70,5,996854,1,0.045631999999999999,0.011839999817311764,595251,20238534,205,1,40,1,16,5038559823257848905,1,0.00016899999999999999,42919100,1,0,0,0
all_delta,0,70,6,996854,1,0.045791999999999999,0.011807999573647976,645772,21956248,116,1,40,2,32,15785956641883730691,1,0.000202,42919100,2,0,0,0
all_delta,0,70,7,996854,1,0.044458999999999999,0.011455999687314034,676721,23008514,143,1,40,7,112,16255102669321986777,1,0.000203,42919100,7,0,0,0
all_delta,0,70,8,996854,1,0.046046999999999998,0.012128000147640705,695138,23634692,158,1,40,1,16,15311275680455022801,1,0.000272,42919100,1,0,0,0
all_delta,0,70,9,996854,1,0.049430000000000002,0.010944000445306301,678267,23061078,133,1,40,1,16,15642014802567948599,1,0.000213,42919100,1,0,0,0
all_delta,0,70,10,996854,1,0.045012999999999997,0.011648000217974186,657213,22345242,195,1,40,1,16,11426800160656088415,1,0.00019599999999999999,42919100,1,0,0,0
all_delta,0,70,11,996854,1,0.046149000000000003,0.012000000104308128,627305,21328370,151,1,40,1,16,110689257886196643,1,0.000192,42919100,1,0,0,0
all_delta,0,70,12,996854,1,0.045381999999999999,0.012191999703645706,591651,20116134,221,1,40,2,32,1140235132895068918,1,0.00025900000000000001,42919100,2,0,0,0
all_delta,0,70,13,996854,1,0.045595999999999998,0.0099839996546506882,530935,18051790,9,1,40,1,16,8144193273189773108,1,0.00033799999999999998,42919100,1,0,0,0
all_delta,0,70,14,996854,1,0.044069999999999998,0.01027199998497963,441112,14997808,232,1,40,3,48,6631285169820864266,1,0.00024899999999999998,42919100,3,0,0,0
all_delta,0,70,15,996854,1,0.046723000000000001,0.0080639999359846115,249,8466,7,1,40,1,16,14114472362983462821,1,0.000175,42919100,1,0,0,0
all_delta,0,70,16,996854,1,0.032066999999999998,0.0069760000333189964,1525,51850,11,1,40,0,0,1469598103934665603,1,0.00027500000000000002,42919100,0,0,0,1
all_delta,0,70,17,996854,1,0.044345000000000002,0.0096319997683167458,30588,1039992,132,1,40,6,96,4713206606481403125,1,0.000263,42919100,6,0,0,1
all_delta,0,70,18,996854,1,0.031012000000000001,0.0087360003963112831,1525,51850,11,1,40,0,0,1469598103934665603,1,0.00021499999999999999,42919100,0,0,0,2
all_delta,0,70,19,996854,1,0.032462999999999999,0.0072320001199841499,448,15232,64,1,40,0,0,1469598103934665603,1,0.000175,42919100,0,0,0,2
all_delta,0,70,20,996854,1,0.031736,0.0079359998926520348,436,14824,76,1,40,0,0,1469598103934665603,1,0.000261,42919100,0,0,0,3
all_delta,0,70,21,996854,1,0.045555999999999999,0.0073600001633167267,46374,1576716,218,1,40,38,608,5623687410393976781,1,0.00036000000000000002,42919100,38,0,0,3
all_delta,0,70,22,996854,1,0.036207000000000003,0.0074240001849830151,5593,190162,39,1,40,0,0,1469598103934665603,1,0.000166,42919100,0,0,0,4
all_delta,0,70,23,996854,1,0.028996000000000001,0.006399999838322401,957,32538,67,1,40,0,0,1469598103934665603,1,0.00019599999999999999,42919100,0,0,0,4
all_delta,0,70,24,996854,1,0.030986,0.0070400000549852848,1525,51850,11,1,40,0,0,1469598103934665603,1,0.000368,42919100,0,0,0,5
all_delta,0,70,25,996854,1,0.031981999999999997,0.0068479999899864197,27849,946866,55,1,40,0,0,1469598103934665603,1,0.00026899999999999998,42919100,0,0,0,5
all_delta,0,70,26,996854,1,0.032539999999999999,0.0075520002283155918,436,14824,76,1,40,0,0,1469598103934665603,1,0.00029399999999999999,42919100,0,0,0,6
all_delta,0,70,27,996854,1,0.035730999999999999,0.011711999773979187,601438,20448892,162,1,40,0,0,1469598103934665603,1,0.00031799999999999998,42919100,0,0,0,6
all_delta,0,70,28,996854,1,0.036629000000000002,0.012063999660313129,683652,23244168,124,1,40,0,0,1469598103934665603,1,0.00028600000000000001,42919100,0,0,0,6
all_delta,0,70,29,996854,1,0.046223,0.011904000304639339,591651,20116134,221,1,40,1,16,17681133477056478587,1,0.00021000000000000001,42919100,1,0,0,6
all_delta,0,70,30,996854,1,0.034456000000000001,0.009503999724984169,393104,13365536,112,1,40,0,0,1469598103934665603,1,0.00023000000000000001,42919100,0,0,0,6
all_delta,0,70,31,996854,1,0.040479000000000001,0.0082240002229809761,27849,946866,55,1,40,3,48,3546359050622177256,1,0.00033799999999999998,42919100,3,0,0,6
all_delta,0,80,0,996854,1,0.042679000000000002,0.0084800003096461296,178,6052,78,1,40,1,16,9590926921243046940,1,0.000232,42919100,1,0,0,0
all_delta,0,80,1,996854,1,0.041270000000000001,0.0081280004233121872,114007,3876238,169,1,40,1,16,236623074773584124,1,0.00024899999999999998,42919100,1,0,0,0
all_delta,0,80,2,996854,1,0.042390999999999998,0.0096319997683167458,188422,6406348,250,1,40,1,16,16482413140649058011,1,0.00020000000000000001,42919100,1,0,0,0
all_delta,0,80,3,996854,1,0.043253,0.010304000228643417,250470,8515980,154,1,40,1,16,9968587167645841113,1,0.000193,42919100,1,0,0,0
all_delta,0,80,4,996854,1,0.042333000000000003,0.0096000004559755325,292134,9932556,218,1,40,2,32,584188552658846184,1,0.00025399999999999999,42919100,2,0,0,0
all_delta,0,80,5,996854,1,0.043994999999999999,0.0090560000389814377,358181,12178154,219,1,40,1,16,5038559823257848905,1,0.00020100000000000001,42919100,1,0,0,0
all_delta,0,80,6,996854,1,0.047038000000000003,0.010176000185310841,420532,14298088,76,1,40,1,16,11398467088110825269,1,0.00019699999999999999,42919100,1,0,0,0
all_delta,0,80,7,996854,1,0.042698,0.0091199995949864388,456597,15524298,107,1,40,1,16,5820997903152764564,1,0.00024000000000000001,42919100,1,0,0,0
all_delta,0,80,8,996854,1,0.044852999999999997,0.010879999957978725,477834,16246356,118,1,40,1,16,15311275680455022801,1,0.00036200000000000002,42919100,1,0,0,0
all_delta,0,80,9,996854,1,0.044132999999999999,0.011359999887645245,488104,16595536,88,1,40,1,16,15642014802567948599,1,0.00024800000000000001,42919100,1,0,0,0
all_delta,0,80,10,996854,1,0.044659999999999998,0.010847999714314938,494988,16829592,116,1,40,1,16,11426800160656088415,1,0.000223,42919100,1,0,0,0
all_delta,0,80,11,996854,1,0.042078999999999998,0.010111999697983265,476036,16185224,124,1,40,1,16,110689257886196643,1,0.00020100000000000001,42919100,1,0,0,0
all_delta,0,80,12,996854,1,0.042351,0.0096960002556443214,428425,14566450,119,1,40,1,16,4379004401049121654,1,0.00025099999999999998,42919100,1,0,0,0
all_delta,0,80,13,996854,1,0.043255000000000002,0.0092479996383190155,370806,12607404,138,1,40,1,16,8144193273189773108,1,0.000242,42919100,1,0,0,0
all_delta,0,80,14,996854,1,0.04233,0.0091519998386502266,263653,8964202,27,1,40,1,16,10423256074610523629,1,0.00022900000000000001,42919100,1,0,0,0
all_delta,0,80,15,996854,1,0.040799000000000002,0.0084480000659823418,38,1292,218,1,40,1,16,14114472362983462821,1,0.000233,42919100,1,0,0,0
all_delta,0,80,16,996854,1,0.031350999999999997,0.0069439997896552086,816,27744,208,1,40,0,0,1469598103934665603,1,0.00043300000000000001,42919100,0,0,0,1
all_delta,0,80,17,996854,1,0.045457999999999998,0.0071680000983178616,11645,395930,131,1,40,2,32,15503956647668614006,1,0.00025099999999999998,42919100,2,0,0,1
all_delta,0,80,18,996854,1,0.032121999999999998,0.0076480000279843807,816,27744,208,1,40,0,0,1469598103934665603,1,0.00023900000000000001,42919100,0,0,0,2
all_delta,0,80,19,996854,1,0.031310999999999999,0.0070719998329877853,92,3128,164,1,40,0,0,1469598103934665603,1,0.00025900000000000001,42919100,0,0,0,2
all_delta,0,80,20,996854,1,0.031725999999999997,0.0075520002283155918,436,14824,76,1,40,0,0,1469598103934665603,1,0.00039599999999999998,42919100,0,0,0,3
all_delta,0,80,21,996854,1,0.042833000000000003,0.0073600001633167267,17563,597142,101,1,40,1,16,14602346578161695386,1,0.00030499999999999999,42919100,1,0,0,3
all_delta,0,80,22,996854,1,0.032670999999999999,0.0078720003366470337,3715,126310,125,1,40,0,0,1469598103934665603,1,0.00037300000000000001,42919100,0,0,0,4
all_delta,0,80,23,996854,1,0.032156999999999998,0.0082879997789859772,199,6766,57,1,40,0,0,1469598103934665603,1,0.00021100000000000001,42919100,0,0,0,4
all_delta,0,80,24,996854,1,0.031800000000000002,0.0073600001633167267,816,27744,208,1,40,0,0,1469598103934665603,1,0.00024899999999999998,42919100,0,0,0,5
all_delta,0,80,25,996854,1,0.032884999999999998,0.0066559999249875546,10680,363120,72,1,40,0,0,1469598103934665603,1,0.000222,42919100,0,0,0,5
all_delta,0,80,26,996854,1,0.031857000000000003,0.0079680001363158226,436,14824,76,1,40,0,0,1469598103934665603,1,0.00020100000000000001,42919100,0,0,0,6
all_delta,0,80,27,996854,1,0.033890999999999998,0.010367999784648418,364806,12403404,250,1,40,0,0,1469598103934665603,1,0.000163,42919100,0,0,0,6
all_delta,0,80,28,996854,1,0.036098999999999999,0.011136000044643879,502579,17087686,205,1,40,0,0,1469598103934665603,1,0.000223,42919100,0,0,0,6
all_delta,0,80,29,996854,1,0.036282000000000002,0.011392000131309032,428425,14566450,119,1,40,0,0,1469598103934665603,1,0.00018799999999999999,42919100,0,0,0,6
all_delta,0,80,30,996854,1,0.034082000000000001,0.0096960002556443214,222797,7575098,179,1,40,0,0,1469598103934665603,1,0.00021499999999999999,42919100,0,0,0,6
all_delta,0,80,31,996854,1,0.031137000000000001,0.0070719998329877853,10680,363120,72,1,40,0,0,1469598103934665603,1,0.000241,42919100,0,0,0,6
all_delta,1,70,0,997438,2,0.041997,0.0082240002229809761,178,6052,78,1,40,1,16,9590926921243046940,1,0.00036099999999999999,42943628,1,0,0,0
all_delta,1,70,1,997438,2,0.045030000000000001,0.0096960002556443214,193177,6568018,359,2,80,1,16,236623074773584124,1,0.00035100000000000002,42943628,1,0,0,0
all_delta,1,70,2,997438,2,0.044152999999999998,0.0094400001689791679,312860,10637240,228,2,80,1,16,16482413140649058011,1,0.00028800000000000001,42943628,1,0,0,0
all_delta,1,70,3,997438,2,0.047588999999999999,0.011552000418305397,419802,14273268,38,2,80,1,16,9968587167645841113,1,0.00031,42943628,1,0,0,0
all_delta,1,70,4,997438,2,0.045867999999999999,0.011680000461637974,493553,16780802,15,2,80,2,32,584188552658846184,1,0.00033599999999999998,42943628,2,0,0,0
all_delta,1,70,5,997438,2,0.044684000000000001,0.010111999697983265,595531,20248054,437,2,80,1,16,5038559823257848905,1,0.00028200000000000002,42943628,1,0,0,0
all_delta,1,70,6,997438,2,0.046517999999999997,0.012191999703645706,646083,21966822,317,2,80,2,32,15785956641883730691,1,0.00053300000000000005,42943628,2,0,0,0
all_delta,1,70,7,997438,2,0.046939000000000002,0.011231999844312668,677057,23019938,319,2,80,7,112,16255102669321986777,1,0.00036999999999999999,42943628,7,0,0,0
all_delta,1,70,8,997438,2,0.047009000000000002,0.011296000331640244,695503,23647102,305,2,80,1,16,15311275680455022801,1,0.00034600000000000001,42943628,1,0,0,0
all_delta,1,70,9,997438,2,0.046153,0.012223999947309494,678631,23073454,281,2,80,1,16,15642014802567948599,1,0.00036099999999999999,42943628,1,0,0,0
all_delta,1,70,10,997438,2,0.046918000000000001,0.011776000261306763,657576,22357584,344,2,80,1,16,11426800160656088415,1,0.00032299999999999999,42943628,1,0,0,0
all_delta,1,70,11,997438,2,0.046719999999999998,0.01104000024497509,627669,21340746,299,2,80,1,16,110689257886196643,1,0.00031700000000000001,42943628,1,0,0,0
all_delta,1,70,12,997438,2,0.047487000000000001,0.012160000391304493,592017,20128578,367,2,80,2,32,1140235132895068918,1,0.00032299999999999999,42943628,2,0,0,0
all_delta,1,70,13,997438,2,0.045758,0.010495999827980995,531275,18063350,181,2,80,1,16,8144193273189773108,1,0.00035100000000000002,42943628,1,0,0,0
all_delta,1,70,14,997438,2,0.047476999999999998,0.011071999557316303,441428,15008552,428,2,80,3,48,6631285169820864266,1,0.00042099999999999999,42943628,3,0,0,0
all_delta,1,70,15,997438,2,0.038143999999999997,0.007519999984651804,249,8466,7,1,40,1,16,14114472362983462821,1,0.00033399999999999999,42943628,1,0,0,0
all_delta,1,70,16,997438,2,0.044519000000000003,0.0093759996816515923,1527,51918,265,2,80,1,16,10573732391258072665,1,0.00039500000000000001,42943628,1,0,0,1
all_delta,1,70,17,997438,2,0.039266000000000002,0.0070400000549852848,30648,1042032,328,2,80,7,112,6245991324253029816,1,0.00035500000000000001,42943628,7,0,0,1
all_delta,1,70,18,997438,2,0.032613000000000003,0.0087999999523162842,1527,51918,265,2,80,0,0,1469598103934665603,1,0.00022800000000000001,42943628,0,0,0,2
all_delta,1,70,19,997438,2,0.029565000000000001,0.0071359998546540737,448,15232,64,1,40,0,0,1469598103934665603,1,0.00026499999999999999,42943628,0,0,0,2
all_delta,1,70,20,997438,2,0.028830999999999999,0.0063680000603199005,436,14824,76,1,40,0,0,1469598103934665603,1,0.00023900000000000001,42943628,0,0,0,3
all_delta,1,70,21,997438,2,0.043104999999999997,0.0090880002826452255,46451,1579334,397,2,80,38,608,5623687410393976781,1,0.00051500000000000005,42943628,38,0,0,3
all_delta,1,70,22,997438,2,0.029586999999999999,0.0073600001633167267,5594,190196,294,2,80,0,0,1469598103934665603,1,0.000263,42943628,0,0,0,4
all_delta,1,70,23,997438,2,0.029156999999999999,0.0068479999899864197,957,32538,67,1,40,0,0,1469598103934665603,1,0.000243,42943628,0,0,0,4
all_delta,1,70,24,997438,2,0.029614999999999999,0.0071359998546540737,1527,51918,265,2,80,0,0,1469598103934665603,1,0.000281,42943628,0,0,0,5
all_delta,1,70,25,997438,2,0.032305,0.0089279999956488609,27906,948804,254,2,80,0,0,1469598103934665603,1,0.00024399999999999999,42943628,0,0,0,5
all_delta,1,70,26,997438,2,0.029104999999999999,0.0066559999249875546,436,14824,76,1,40,0,0,1469598103934665603,1,0.000192,42943628,0,0,0,6
all_delta,1,70,27,997438,2,0.033751000000000003,0.01065600011497736,601717,20458378,395,2,80,0,0,1469598103934665603,1,0.00020599999999999999,42943628,0,0,0,6
all_delta,1,70,28,997438,2,0.03099,0.011807999573647976,684021,23256714,267,2,80,0,0,1469598103934665603,1,0.00030200000000000002,42943628,0,0,0,6
all_delta,1,70,29,997438,2,0.038474000000000001,0.0093759996816515923,592017,20128578,367,2,80,1,16,17681133477056478587,1,0.000231,42943628,1,0,0,6
all_delta,1,70,30,997438,2,0.031508000000000001,0.0085439998656511307,393393,13375362,335,2,80,0,0,1469598103934665603,1,0.00019799999999999999,42943628,0,0,0,6
