rotation,mode,policy,batch,epoch,status,rows,runs,merges,deferred,begin_ms,ready_ms,published_ms,writer_done_ms,host_build_ms,metadata_ms,staging_ms,h2d_ms,uploaded_bytes,merge_host_rw_bytes,shared_bytes,current_only_bytes,retired_only_bytes,reader_only_at_publish_bytes,unreferenced_at_publish_bytes,live_at_publish_bytes,last_reader_device_done_ms,old_epoch_owner_released_ms,exclusive_actual_reclaim_ms,lifecycle_ms,arrival_ms,maintenance_queue_ms,other_held_at_publish_bytes,cap_mib
0,sequential,all_delta,1,0,published,9461367,1,0,0,662.687823,752.582507,752.584595,752.585748,0,33.324389,42.382515,9.273348,397377414,0,0,441000192,0,0,0,508312320,0,752.585748,752.585748,89.897925,662.687823,0,0,1280
0,sequential,all_delta,1,1,published,9466817,2,0,0,775.861976,783.417644,783.419837,783.420742,0,0.015626,0.0256340000001,0.05411,228900,0,0,441229312,0,0,0,508541440,775.842436,784.088293,783.420742,8.226317,775.861976,0,0,1280
0,sequential,all_delta,1,2,published,10232664,3,0,0,807.580581,818.489141,818.491295,818.492427,0,2.688627,3.499322,0.798067,32165574,0,0,473394944,0,0,0,540707072,807.519337,818.501022,818.492427,10.920441,807.580581,0,0,1280
0,sequential,all_delta,1,3,published,10234444,4,0,0,844.867926,849.899737,849.901994,849.902945,0,0.00531599999999,0.00853500000005,0.0416029999999,74760,0,0,473469952,0,0,0,540782080,844.847669,849.930589,849.902945,5.062663,844.867926,0,0,1280
0,sequential,all_delta,1,4,published,10269993,5,0,0,876.276667,883.145704,883.148431,883.149388,0,0.122325,0.142231,0.109206,1493058,0,0,474963200,0,0,0,542275328,876.236192,883.157738,883.149388,6.881071,876.276667,0,0,1280
0,sequential,all_delta,1,5,published,10274223,6,0,0,909.782529,913.794141,913.796664,913.797602,0,0.0124420000001,0.0203839999999,0.046817,177660,0,0,475140864,0,0,0,542452992,909.763958,913.805987,913.797602,4.023458,909.782529,0,0,1280
0,sequential,all_delta,1,6,published,10279473,7,0,0,940.507888,944.411083,944.413975,944.415033,0,0.0149699999999,0.025124,0.050146,220500,0,0,475361536,0,0,0,542673664,940.49212,944.42271,944.415033,3.914822,940.507888,0,0,1280
0,sequential,periodic2,1,0,published,9461367,1,0,0,971.410236,1059.868485,1059.86988,1059.870503,0,33.338789,41.876257,9.240455,397377414,0,0,441000192,0,0,0,508312320,0,1059.870503,1059.870503,88.460267,971.410236,0,0,1280
0,sequential,periodic2,1,1,published,9466817,2,0,0,1083.118292,1087.013009,1087.014473,1087.015116,0,0.016032,0.0250150000004,0.0504600000002,228900,0,0,441229312,0,0,0,508541440,1083.103218,1087.022665,1087.015116,3.904373,1083.118292,0,0,1280
0,sequential,periodic2,1,2,published_merge_deferred,10232664,3,0,1,1110.432419,1121.356548,1121.358056,1121.359312,0,2.68192,3.487082,0.787808,32165574,0,0,473394944,0,0,0,540707072,1110.414269,1121.36728,1121.359312,10.934861,1110.432419,0,0,1280
0,sequential,periodic2,1,3,published,10234444,4,0,0,1147.640835,1151.521268,1151.523092,1151.52418,0,0.00591899999995,0.00844300000017,0.0427309999998,74760,0,0,473469952,0,0,0,540782080,1147.625324,1151.531775,1151.52418,3.89094,1147.640835,0,0,1280
