mode,policy,rotation,cap_mib,interval_ms,window_ms,start_ms,drain_finished_ms,scheduled_batches,completed_batches,dropped_batches,coverage_pass,cpu_complete_match,window_completed_batches,completion_fraction,window_queries_per_s,p99_response_ms,p50_response_ms,max_response_ms,p99_service_ms,mean_service_ms,p99_queue_ms,max_waiting_batches,max_maintenance_backlog,max_publication_lag_ms,max_maintenance_queue_ms,uploaded_bytes,merged_host_rw_bytes,merges,deferred,end_runs,peak_vram_bytes,host_maxrss_kib,case_name,technical_pass
growth,all_delta,0,1280,0.54,8000,898.199572,8898.176786,14815,14815,0,True,True,14815,1.0,14815.0,0.994073999999,0.445313,6.853868,0.936358,0.3980028971312836,0.454872,11,1,11.419929000000138,0.113016,34360452,0,0,0,7,1277034496,834668,test_r0_cap1280_all_delta_growth,True
shadow,all_delta,0,1280,0.54,8000,820.874838,8820.814095,14815,14815,0,True,True,14815,1.0,14815.0,0.870243,0.376565,6.722452,0.813401,0.32521695680054047,0.330937,11,1,9.383076999999957,0.129192,34360452,0,0,0,7,1277034496,835712,test_r0_cap1280_all_delta_shadow,True
growth,compact,0,1280,0.54,8000,852.934568,8852.917463,14815,14815,0,True,True,14815,1.0,14815.0,0.992406,0.446701,5.852777,0.935594999999,0.39755526115423867,0.452832000001,9,1,10.180179999999837,0.117856999999,34360452,0,0,6,7,1277034496,835688,test_r0_cap1280_compact_growth,True
shadow,compact,0,1280,0.54,8000,903.218178,8903.129239,14815,14815,0,True,True,14815,1.0,14815.0,0.871917,0.377291999999,6.714711,0.814851,0.3245705687478939,0.332634,11,1,10.520895999999993,0.133376,34360452,0,0,6,7,1277034496,835700,test_r0_cap1280_compact_shadow,True
growth,periodic6,0,1280,0.54,8000,882.394655,8882.3697,14815,14815,0,True,True,14815,1.0,14815.0,0.996115,0.448286,6.146365,0.937718,0.3997559014512364,0.456725,10,1,11.30764999999974,0.131937,34360452,0,0,1,7,1277034496,835748,test_r0_cap1280_periodic6_growth,True
shadow,periodic6,0,1280,0.54,8000,896.424337,8896.352668,14815,14815,0,True,True,14815,1.0,14815.0,0.870136,0.375603,6.621505,0.813399,0.32332291265608315,0.330863,11,1,10.541469000000234,0.129346,34360452,0,0,1,7,1277034496,835684,test_r0_cap1280_periodic6_shadow,True
static_base,all_delta,0,1280,0.54,8000,800.218233,8800.148354,14815,14815,0,True,True,14815,1.0,14815.0,0.865257,0.371091999999,6.477372,0.808984,0.3193847808302382,0.325551,11,0,0,0,0,0,0,0,1,1277034496,834648,test_r0_cap1280_static_base,True
static_final,all_delta,0,1280,0.54,8000,1156.801352,9156.764515,14815,14815,0,True,True,14815,1.0,14815.0,0.990814,0.447984,5.760741,0.933932,0.4126040641242038,0.451172999999,9,0,0,0,0,0,0,0,1,1277034496,1043344,test_r0_cap1280_static_final,True
growth,tier4,0,1280,0.54,8000,812.153795,8812.115213,14815,14815,0,True,True,14815,1.0,14815.0,0.990599,0.445129,6.548778,0.934139,0.39639178724265656,0.450989,11,1,33.00198999999975,0.0810369999999,70686882,72652860,4,0,3,1277034496,835708,test_r0_cap1280_tier4_growth,True
shadow,tier4,0,1280,0.54,8000,901.524628,8901.463546,14815,14815,0,True,True,14815,1.0,14815.0,0.870277,0.378036,6.520776,0.813603,0.3254241323658359,0.330868999999,11,1,39.879747999999836,0.0824080000002,70686882,72652860,4,0,3,1277034496,835708,test_r0_cap1280_tier4_shadow,True
growth,all_delta,0,2048,0.54,8000,904.97284,8904.948913,14815,14815,0,True,True,14815,1.0,14815.0,0.994721,0.444313999999,6.666623,0.936662,0.3978398656091782,0.455293,11,1,11.74020900000005,0.114522,34360452,0,0,0,7,2082340864,835688,test_r0_cap2048_all_delta_growth,True
shadow,all_delta,0,2048,0.54,8000,828.669921,8828.598845,14815,14815,0,True,True,14815,1.0,14815.0,0.869909,0.375950999999,6.887581,0.813011,0.32323847343908196,0.330538,11,1,9.288493000000017,0.138470999999,34360452,0,0,0,7,2082340864,833636,test_r0_cap2048_all_delta_shadow,True
growth,compact,0,2048,0.54,8000,907.097351,8907.063316,14815,14815,0,True,True,14815,1.0,14815.0,17.932473,0.438881999999,24.277422,0.936308,0.3933838068174182,17.392758,43,1,561.1594530000002,0.0686699999997,2586180240,5103639576,6,0,1,2082340864,1457860,test_r0_cap2048_compact_growth,False
shadow,compact,0,2048,0.54,8000,946.764568,8946.692139,14815,14815,0,True,True,14815,1.0,14815.0,0.874483,0.378387,6.85358,0.816021,0.32695140263246775,0.335274,11,1,527.3251179999997,0.073304,2586180240,5103639576,6,0,1,2082340864,1458520,test_r0_cap2048_compact_shadow,True
growth,periodic6,0,2048,0.54,8000,896.907785,8896.871356,14815,14815,0,True,True,14815,1.0,14815.0,0.99449,0.442051999999,5.850255,0.93654,0.39623054195072555,0.454958,9,1,722.4728379999997,0.0897440000008,466098318,863475732,1,0,1,2082340864,1041332,test_r0_cap2048_periodic6_growth,True
shadow,periodic6,0,2048,0.54,8000,904.664818,8904.593581,14815,14815,0,True,True,14815,1.0,14815.0,0.870279,0.375749,6.560817,0.813124,0.32207573108336096,0.33089,11,1,539.443389,0.124429,466098318,863475732,1,0,1,2082340864,1038304,test_r0_cap2048_periodic6_shadow,True
static_base,all_delta,0,2048,0.54,8000,822.729769,8822.665466,14815,14815,0,True,True,14815,1.0,14815.0,0.867982,0.373105,5.965471,0.81168,0.3210314562267966,0.328417,10,0,0,0,0,0,0,0,1,2082340864,834668,test_r0_cap2048_static_base,True
static_final,all_delta,0,2048,0.54,8000,1183.008855,9182.973837,14815,14815,0,True,True,14815,1.0,14815.0,0.991625,0.447517,6.605497,0.933811,0.4127257403307419,0.451927,11,0,0,0,0,0,0,0,1,2082340864,1044444,test_r0_cap2048_static_final,True
growth,tier4,0,2048,0.54,8000,943.267867,8943.234775,14815,14815,0,True,True,14815,1.0,14815.0,0.994238,0.443719,7.009101,0.936898,0.3973007646304418,0.454808,11,1,43.81182799999988,0.0748600000002,70686882,72652860,4,0,3,2082340864,835708,test_r0_cap2048_tier4_growth,True
shadow,tier4,0,2048,0.54,8000,915.782909,8915.721085,14815,14815,0,True,True,14815,1.0,14815.0,0.87102,0.37739,7.375163,0.814443,0.3253139841376918,0.331533,12,1,43.351830000000064,0.086491,70686882,72652860,4,0,3,2082340864,834764,test_r0_cap2048_tier4_shadow,True
